freq,eta,n
1,0.818,1.723
2,0.821,1.667
3,0.75,1.693
4,0.706,1.664
5,0.715,1.699
6,0.539,1.696
7,0.54,1.764
8,0.083,1.775
9,0.026,1.666
10,0.016,1.556
11,0.02,1.458
12,0.047,1.401
13,0.263,1.394
14,0.493,1.464
15,0.509,1.478
16,0.557,1.502
17,0.548,1.51
18,0.598,1.519
19,0.562,1.527
20,0.568,1.528
