freq,vg
2,1.928
3,1.693
4,1.938
5,1.599
6,1.788
7,1.338
8,1.606
9,4.419
10,6.472
11,7.938
12,4.161
13,2.307
14,1.224
15,1.779
16,1.595
17,1.812
18,1.785
19,1.787
20,1.952
