freq,vg
2,1.79
3,1.817
4,2.053
5,1.592
6,1.385
7,1.832
8,4.226
9,5.529
10,2.158
11,1.237
12,4.691
13,4.198
14,2.325
15,1.43
16,1.586
17,1.827
18,1.951
19,1.729
20,1.897
