ch1,ch2,dphi
10.32,9.38,-78.66
10.31,9.40,-156.38
10.29,8.04,127.0
10.27,8.34,57.6
10.22,8.64,-27.36
10.22,7.43,-124.0
10.23,3.21,159.89
10.21,2.01,121.92
10.17,2.16,91.94
10.13,5.26,27.36
10.16,2.74,-80.88
10.15,1.91,-113.68
10.13,2.45,-149.22
10.11,5.04,150.84
10.09,7.36,56.05
10.08,7.44,-30.00
10.04,6.75,-105.31
10.01,7.12,-176.12
9.99,7.34,104.43
9.98,7.26,31.68
