freq,eta,n
1,0.826,1.706
2,0.831,1.696
3,0.61,1.684
4,0.659,1.639
5,0.715,1.68
6,0.529,1.749
7,0.098,1.735
8,0.039,1.621
9,0.045,1.513
10,0.27,1.502
11,0.073,1.579
12,0.035,1.507
13,0.058,1.45
14,0.249,1.439
15,0.532,1.48
16,0.545,1.504
17,0.452,1.512
18,0.506,1.513
19,0.54,1.524
20,0.529,1.527
