ch1,ch2,dphi
10.33,9.34,-69.5
10.32,9.35,-134.5
10.29,8.91,155.1
10.27,8.63,91.5
10.23,8.65,17.28
10.22,7.50,-50.5
10.23,7.52,-138.15
10.22,2.95,147.0
10.17,1.63,115.2
10.13,1.27,92.1
10.15,1.42,72.9
10.12,2.20,41.54
10.10,5.18,-11.19
10.08,7.08,-107.19
10.06,7.18,-174.61
10.32,7.70,110.50
10.02,7.42,44.08
9.98,7.72,-23.31
9.95,7.46,-90.69
9.94,7.49,-152.64
